lead time,average price,special requests,market segment type_Corporate,market segment type_Offline,market segment type_Online
224,88,0,0,1,0
5,106,1,0,0,1
1,50,0,0,0,1
211,100,1,0,0,1
48,77,0,0,0,1
34,107,1,0,0,1
83,105,1,0,0,1
121,96,1,0,1,0
44,133,3,0,0,1
0,85,0,0,0,1
35,140,1,0,0,1
30,88,0,0,0,1
95,90,2,0,0,1
47,94,2,0,0,1
256,115,1,0,0,1
0,96,0,0,1,0
1,96,1,0,0,1
99,65,0,0,0,1
12,72,0,0,1,0
99,65,0,0,0,1
122,67,0,1,0,0
2,85,0,0,1,0
37,105,0,0,1,0
130,94,1,0,0,1
99,114,1,0,0,1
60,65,0,0,1,0
2,110,0,0,0,0
37,37,0,0,0,1
56,82,0,0,1,0
3,177,1,0,0,1
107,87,1,0,0,1
2,69,1,0,0,1
72,85,0,0,1,0
34,81,0,0,0,1
289,67,0,0,1,0
247,63,0,0,0,1
186,121,1,0,0,1
64,93,2,0,0,1
35,102,1,0,0,1
96,121,1,0,0,1
41,98,1,0,0,1
55,60,1,0,1,0
146,75,0,0,1,0
32,73,0,0,1,0
55,104,0,0,1,0
57,79,1,0,0,1
7,125,2,0,0,1
124,87,0,0,0,1
169,106,0,0,0,1
6,136,1,0,0,1
51,60,1,0,1,0
13,89,2,0,0,1
100,136,1,0,0,1
139,94,1,0,0,1
117,93,2,0,0,1
39,120,0,0,0,1
86,99,1,0,0,1
19,120,2,0,0,1
192,95,0,0,1,0
2,0,1,0,0,0
86,75,0,0,1,0
30,157,2,0,0,1
179,97,1,0,0,1
26,142,0,0,0,1
55,80,0,0,1,0
74,85,1,0,0,1
143,100,0,0,1,0
34,88,2,0,0,1
177,100,0,0,0,1
34,75,0,0,1,0
18,116,1,0,0,1
267,121,0,0,0,1
64,111,1,0,0,1
155,121,2,0,0,1
46,75,1,0,1,0
128,132,0,0,0,1
20,88,2,0,0,1
40,98,0,0,0,1
1,150,2,0,0,1
196,96,1,0,0,1
188,130,0,0,0,1
146,113,0,0,1,0
110,101,1,0,0,1
73,115,1,0,0,1
92,149,1,0,0,1
171,111,0,0,0,1
118,90,1,0,0,1
30,76,1,0,0,1
189,85,2,0,0,1
55,159,2,0,0,1
55,74,2,0,0,1
16,95,1,0,0,1
24,107,1,0,0,1
8,64,0,0,1,0
0,155,1,0,0,1
12,101,1,0,0,1
32,94,3,0,0,1
182,117,2,0,0,1
1,127,1,0,0,1
122,116,2,0,0,1
40,117,1,0,0,1
40,135,0,0,0,1
105,102,3,0,0,1
2,103,1,0,0,1
286,58,0,0,1,0
68,73,0,0,0,1
148,105,0,0,0,1
68,133,2,0,0,1
30,85,0,0,1,0
14,112,1,0,0,1
117,110,0,0,1,0
85,91,1,0,0,1
1,135,2,0,0,1
25,129,2,0,0,1
289,70,2,0,0,1
28,75,0,0,1,0
80,72,0,0,0,1
11,155,2,0,0,1
162,121,2,0,0,1
155,90,2,0,0,1
82,109,0,0,0,1
27,142,0,0,0,1
13,90,0,0,1,0
245,75,0,0,0,1
11,111,1,0,0,1
266,86,2,0,0,1
39,117,1,0,0,1
112,101,1,0,0,1
88,58,1,0,0,1
56,120,0,0,1,0
73,107,0,0,0,1
80,126,1,0,0,1
130,139,2,0,0,1
69,80,1,0,0,1
273,109,0,0,0,1
55,104,0,0,1,0
97,140,0,0,0,1
44,75,0,0,1,0
31,94,0,0,0,1
0,109,0,0,0,1
62,105,2,0,0,1
86,107,1,0,0,1
197,85,1,0,0,1
143,105,2,0,0,1
23,1,0,0,0,1
8,156,0,0,0,1
13,73,1,0,0,1
280,110,0,0,0,1
11,87,1,0,0,1
185,79,0,0,0,1
160,90,1,0,0,1
104,91,1,0,0,1
11,150,1,0,0,1
2,89,0,0,0,1
14,91,1,0,0,1
22,140,0,0,1,0
37,87,0,0,0,1
11,80,1,0,0,1
86,82,1,0,0,1
109,108,0,0,0,1
72,96,1,0,0,1
196,99,0,0,0,1
56,140,1,0,0,1
189,72,0,0,1,0
126,126,0,0,0,1
81,146,1,0,0,1
54,118,0,0,0,1
15,145,0,0,0,1
86,84,0,0,0,1
161,130,0,0,0,1
92,101,0,0,1,0
87,100,0,1,0,0
109,58,0,0,1,0
127,61,2,0,1,0
156,87,1,0,0,1
80,76,1,0,0,1
211,63,0,0,0,1
273,95,0,0,0,1
58,75,1,0,1,0
111,101,1,0,0,1
34,85,0,0,1,0
17,98,0,0,0,1
4,0,1,0,0,0
6,106,1,0,0,1
32,105,1,0,1,0
4,145,2,0,0,1
195,106,1,0,0,1
119,114,1,0,0,1
13,88,0,0,0,1
59,89,2,0,0,1
78,86,1,0,0,1
103,55,0,0,0,1
0,109,1,0,0,1
118,86,0,0,1,0
56,118,0,0,0,1
107,130,1,0,1,0
70,90,1,0,0,1
76,87,1,0,0,1
15,127,1,0,0,1
32,72,0,0,0,1
